Transaction Code,Customer Id,Age,Job,Marital,Education,Default,Account Balance,Housing,Loan,Contact,Day,Month,Date,Call Duration,Campaign Id,Campaign,Time Between Campaigns,# of Calls,Campaign Success,Purchased Product
1-1838-704X,1838,39,technician,divorced,tertiary,yes,3,no,no,cellular,6,may,5/6/2015,488,1,Life Insurance,-1,0,unknown,yes
1-1938-745X,1938,30,unemployed,single,secondary,yes,-770,yes,no,unknown,28,may,5/28/2015,87,1,Life Insurance,-1,0,unknown,no
1-2420-925X,2420,41,blue-collar,single,secondary,yes,-386,no,yes,cellular,20,nov,11/20/2015,477,1,Life Insurance,-1,0,unknown,yes
1-2511-954X,2511,53,retired,divorced,secondary,yes,-200,no,yes,unknown,6,jun,6/6/2015,161,1,Life Insurance,-1,0,unknown,no
1-2603-992X,2603,25,blue-collar,married,primary,yes,-589,yes,no,unknown,3,jun,6/3/2015,233,1,Life Insurance,-1,0,unknown,no
1-2819-1085X,2819,57,entrepreneur,divorced,secondary,yes,25,yes,no,cellular,11,may,5/11/2015,652,1,Life Insurance,370,4,other,no
1-3015-1162X,3015,49,technician,married,secondary,yes,-74,yes,no,cellular,19,nov,11/19/2015,114,1,Life Insurance,-1,0,unknown,no
1-3100-1198X,3100,37,technician,married,secondary,yes,0,no,no,unknown,18,jun,6/18/2015,236,1,Life Insurance,-1,0,unknown,no
1-3391-1314X,3391,42,entrepreneur,married,primary,yes,66,yes,yes,cellular,6,feb,2/6/2015,139,1,Life Insurance,-1,0,unknown,no
1-3425-1324X,3425,55,technician,married,secondary,yes,-308,no,no,cellular,2,feb,2/2/2015,781,1,Life Insurance,-1,0,unknown,yes
1-3456-1337X,3456,33,technician,divorced,secondary,yes,-305,no,yes,unknown,9,may,5/9/2015,109,1,Life Insurance,-1,0,unknown,no
1-3461-1341X,3461,24,services,married,secondary,yes,110,yes,no,unknown,23,may,5/23/2015,27,1,Life Insurance,-1,0,unknown,no
1-3682-1416X,3682,30,blue-collar,single,secondary,yes,239,yes,no,unknown,21,may,5/21/2015,412,1,Life Insurance,-1,0,unknown,yes
1-3916-1513X,3916,27,management,single,tertiary,yes,0,no,yes,cellular,8,jul,7/8/2015,46,1,Life Insurance,-1,0,unknown,no
1-4021-1554X,4021,42,management,married,secondary,yes,-34,no,no,cellular,5,feb,2/5/2015,176,1,Life Insurance,-1,0,unknown,no
1-4090-1575X,4090,32,blue-collar,married,secondary,yes,-53,yes,no,cellular,16,apr,4/16/2015,648,1,Life Insurance,272,1,other,yes
1-4518-1734X,4518,57,self-employed,married,tertiary,yes,-3313,yes,yes,unknown,9,may,5/9/2015,153,1,Life Insurance,-1,0,unknown,no
2-125-1780X,125,51,management,single,tertiary,yes,-55,yes,no,cellular,11,may,5/11/2015,281,2,Life Insurance,266,6,failure,no
2-296-1836X,296,49,entrepreneur,divorced,unknown,yes,-701,yes,no,cellular,30,jul,7/30/2015,988,2,Life Insurance,-1,0,unknown,yes
2-547-1894X,547,47,self-employed,married,secondary,yes,2,no,no,cellular,5,feb,2/5/2015,236,2,Life Insurance,-1,0,unknown,no
2-786-1958X,786,23,student,married,tertiary,yes,-230,yes,no,cellular,18,may,5/18/2015,259,2,Life Insurance,-1,0,unknown,no
2-1054-2044X,1054,47,blue-collar,divorced,secondary,yes,-535,yes,no,cellular,30,jul,7/30/2015,71,2,Life Insurance,-1,0,unknown,no
2-1331-2116X,1331,27,blue-collar,married,secondary,yes,-584,yes,no,cellular,7,may,5/7/2015,411,2,Life Insurance,-1,0,unknown,no
2-1418-2140X,1418,40,blue-collar,married,primary,yes,0,yes,no,unknown,6,may,5/6/2015,64,2,Life Insurance,-1,0,unknown,no
2-1509-2164X,1509,37,technician,single,secondary,yes,375,no,no,unknown,9,jun,6/9/2015,223,2,Life Insurance,-1,0,unknown,no
2-1795-2241X,1795,56,admin.,divorced,secondary,yes,-435,yes,yes,unknown,9,may,5/9/2015,185,2,Life Insurance,-1,0,unknown,no
2-2009-2300X,2009,39,technician,married,secondary,yes,-183,yes,no,unknown,14,may,5/14/2015,202,2,Life Insurance,-1,0,unknown,no
2-2719-2489X,2719,48,services,married,secondary,yes,-20,no,no,cellular,20,aug,8/20/2015,142,2,Life Insurance,-1,0,unknown,no
2-3416-2675X,3416,26,services,single,secondary,yes,-162,yes,no,cellular,15,may,5/15/2015,44,2,Life Insurance,-1,0,unknown,no
2-3695-2753X,3695,44,management,married,secondary,yes,0,yes,no,cellular,11,jul,7/11/2015,96,2,Life Insurance,-1,0,unknown,no
2-3812-2789X,3812,26,management,divorced,tertiary,yes,-402,no,yes,unknown,12,may,5/12/2015,127,2,Life Insurance,-1,0,unknown,no
2-3839-2796X,3839,47,blue-collar,married,secondary,yes,-614,yes,no,unknown,26,may,5/26/2015,118,2,Life Insurance,-1,0,unknown,no
2-3918-2816X,3918,36,technician,single,secondary,yes,12,no,no,cellular,12,aug,8/12/2015,587,2,Life Insurance,-1,0,unknown,yes
2-4258-2923X,4258,32,services,married,secondary,yes,-220,yes,yes,cellular,25,jul,7/25/2015,123,2,Life Insurance,-1,0,unknown,no
2-4280-2932X,4280,31,housemaid,married,unknown,yes,-6,no,yes,telephone,7,jul,7/7/2015,94,2,Life Insurance,-1,0,unknown,no
2-4318-2944X,4318,27,services,single,secondary,yes,-1,no,no,cellular,22,jul,7/22/2015,60,2,Life Insurance,-1,0,unknown,no
3-133-3015X,133,43,blue-collar,married,unknown,yes,-715,yes,no,unknown,30,may,5/30/2015,67,3,Life Insurance,-1,0,unknown,no
3-236-3032X,236,48,technician,divorced,secondary,yes,20,no,no,cellular,27,aug,8/27/2015,145,3,Life Insurance,-1,0,unknown,no
3-487-3066X,487,55,services,divorced,secondary,yes,-404,yes,no,cellular,22,jul,7/22/2015,502,3,Life Insurance,-1,0,unknown,no
3-1227-3164X,1227,32,admin.,divorced,secondary,yes,5,yes,yes,cellular,18,may,5/18/2015,82,3,Life Insurance,363,2,other,no
3-1721-3222X,1721,30,blue-collar,single,secondary,yes,4,yes,no,unknown,23,may,5/23/2015,84,3,Life Insurance,-1,0,unknown,no
3-2099-3274X,2099,57,retired,married,secondary,yes,32,yes,no,cellular,15,may,5/15/2015,476,3,Life Insurance,-1,0,unknown,no
3-2237-3288X,2237,32,admin.,divorced,secondary,yes,-18,yes,no,unknown,12,may,5/12/2015,155,3,Life Insurance,-1,0,unknown,no
3-2507-3323X,2507,27,admin.,married,secondary,yes,-517,yes,no,cellular,14,jul,7/14/2015,172,3,Life Insurance,-1,0,unknown,no
3-3722-3469X,3722,35,admin.,married,secondary,yes,0,no,yes,unknown,4,jul,7/4/2015,105,3,Life Insurance,-1,0,unknown,no
3-4121-3520X,4121,31,self-employed,single,tertiary,yes,-282,yes,no,cellular,20,nov,11/20/2015,131,3,Life Insurance,-1,0,unknown,no
4-215-3566X,215,31,management,married,tertiary,yes,-253,no,no,cellular,12,aug,8/12/2015,220,4,Life Insurance,-1,0,unknown,no
4-857-3611X,857,49,technician,married,secondary,yes,-1680,yes,yes,unknown,27,jun,6/27/2015,92,4,Life Insurance,-1,0,unknown,no
4-1623-3675X,1623,45,blue-collar,single,primary,yes,-183,no,yes,cellular,15,jul,7/15/2015,395,4,Life Insurance,-1,0,unknown,no
4-1959-3695X,1959,43,management,single,secondary,yes,-1164,yes,yes,cellular,18,jul,7/18/2015,76,4,Life Insurance,-1,0,unknown,no
4-2520-3739X,2520,43,technician,single,tertiary,yes,0,no,no,cellular,29,aug,8/29/2015,73,4,Life Insurance,-1,0,unknown,no
4-3129-3788X,3129,57,blue-collar,married,primary,yes,195,no,yes,telephone,30,jul,7/30/2015,185,4,Life Insurance,-1,0,unknown,no
4-3229-3797X,3229,39,management,single,tertiary,yes,-401,yes,no,cellular,19,aug,8/19/2015,274,4,Life Insurance,-1,0,unknown,no
4-3668-3822X,3668,30,management,single,tertiary,yes,35,no,no,cellular,30,jul,7/30/2015,185,4,Life Insurance,-1,0,unknown,no
5-821-3910X,821,50,management,married,secondary,yes,421,no,no,cellular,20,nov,11/20/2015,22,5,Life Insurance,-1,0,unknown,no
5-1820-3952X,1820,33,technician,divorced,secondary,yes,10,yes,yes,cellular,18,nov,11/18/2015,167,5,Life Insurance,-1,0,unknown,no
5-2894-3993X,2894,26,admin.,divorced,secondary,yes,-3,yes,no,unknown,13,may,5/13/2015,181,5,Life Insurance,-1,0,unknown,no
6-2399-4118X,2399,51,entrepreneur,married,secondary,yes,-2082,no,yes,cellular,28,jul,7/28/2015,123,6,Life Insurance,-1,0,unknown,no
6-3596-4161X,3596,30,blue-collar,single,secondary,yes,447,no,no,unknown,14,may,5/14/2015,103,6,Life Insurance,-1,0,unknown,no
6-3949-4176X,3949,51,management,single,tertiary,yes,-55,yes,no,cellular,18,aug,8/18/2015,119,6,Life Insurance,-1,0,unknown,no
6-3977-4178X,3977,48,management,married,tertiary,yes,-13,yes,no,cellular,15,may,5/15/2015,20,6,Life Insurance,291,2,other,no
7-841-4213X,841,28,technician,single,secondary,yes,-298,yes,no,unknown,3,jun,6/3/2015,559,7,Life Insurance,-1,0,unknown,no
7-1315-4220X,1315,48,services,married,primary,yes,-583,yes,no,unknown,2,jun,6/2/2015,25,7,Life Insurance,-1,0,unknown,no
8-3826-4326X,3826,32,technician,married,secondary,yes,4,yes,yes,cellular,25,aug,8/25/2015,132,8,Life Insurance,-1,0,unknown,no
1-1-1X,1,30,unemployed,married,primary,no,1787,no,no,cellular,19,oct,10/19/2015,79,1,Life Insurance,-1,0,unknown,no
1-2-2X,2,33,services,married,secondary,no,4789,yes,yes,cellular,11,may,5/11/2015,220,1,Life Insurance,339,4,failure,no
1-3-3X,3,35,management,single,tertiary,no,1350,yes,no,cellular,16,apr,4/16/2015,185,1,Life Insurance,330,1,failure,no
1-5-4X,5,59,blue-collar,married,secondary,no,0,yes,no,unknown,5,may,5/5/2015,226,1,Life Insurance,-1,0,unknown,no
1-7-5X,7,36,self-employed,married,tertiary,no,307,yes,no,cellular,14,may,5/14/2015,341,1,Life Insurance,330,2,other,no
1-10-6X,10,43,services,married,primary,no,-88,yes,yes,cellular,17,apr,4/17/2015,313,1,Life Insurance,147,2,failure,no
1-11-7X,11,39,services,married,secondary,no,9374,yes,no,unknown,20,may,5/20/2015,273,1,Life Insurance,-1,0,unknown,no
1-14-8X,14,20,student,single,secondary,no,502,no,no,cellular,30,apr,4/30/2015,261,1,Life Insurance,-1,0,unknown,yes
1-15-9X,15,31,blue-collar,married,secondary,no,360,yes,yes,cellular,29,jan,1/29/2015,89,1,Life Insurance,241,1,failure,no
1-18-10X,18,37,admin.,single,tertiary,no,2317,yes,no,cellular,20,apr,4/20/2015,114,1,Life Insurance,152,2,failure,no
1-19-11X,19,25,blue-collar,single,primary,no,-221,yes,no,unknown,23,may,5/23/2015,250,1,Life Insurance,-1,0,unknown,no
1-20-12X,20,31,services,married,secondary,no,132,no,no,cellular,7,jul,7/7/2015,148,1,Life Insurance,152,1,other,no
1-27-13X,27,55,blue-collar,married,primary,no,627,yes,no,unknown,5,may,5/5/2015,247,1,Life Insurance,-1,0,unknown,no
1-28-14X,28,67,retired,married,unknown,no,696,no,no,telephone,17,aug,8/17/2015,119,1,Life Insurance,105,2,failure,no
1-33-15X,33,59,management,married,secondary,no,42,no,no,cellular,21,nov,11/21/2015,40,1,Life Insurance,-1,0,unknown,no
1-36-16X,36,42,admin.,divorced,secondary,no,1811,yes,no,unknown,14,may,5/14/2015,150,1,Life Insurance,-1,0,unknown,no
1-37-17X,37,78,retired,divorced,primary,no,229,no,no,telephone,22,oct,10/22/2015,97,1,Life Insurance,-1,0,unknown,yes
1-38-18X,38,32,blue-collar,married,secondary,no,2089,yes,no,cellular,14,nov,11/14/2015,132,1,Life Insurance,-1,0,unknown,yes
1-39-19X,39,33,management,married,secondary,no,3935,yes,no,cellular,6,may,5/6/2015,765,1,Life Insurance,342,2,failure,yes
1-43-20X,43,52,blue-collar,married,secondary,no,1117,yes,no,cellular,13,may,5/13/2015,365,1,Life Insurance,-1,0,unknown,no
1-48-21X,48,26,blue-collar,married,primary,no,0,yes,no,unknown,21,may,5/21/2015,425,1,Life Insurance,-1,0,unknown,no
1-50-23X,50,61,admin.,married,unknown,no,4629,yes,no,cellular,27,jan,1/27/2015,181,1,Life Insurance,92,1,success,yes
1-54-24X,54,34,technician,married,tertiary,no,1539,yes,no,cellular,15,jun,6/15/2015,441,1,Life Insurance,56,1,other,yes
1-57-25X,57,57,management,married,secondary,no,82,no,yes,telephone,4,feb,2/4/2015,140,1,Life Insurance,-1,0,unknown,no
1-58-26X,58,33,self-employed,single,tertiary,no,2155,no,no,cellular,17,nov,11/17/2015,295,1,Life Insurance,-1,0,unknown,no
1-59-27X,59,36,retired,single,secondary,no,101,yes,yes,unknown,26,may,5/26/2015,314,1,Life Insurance,-1,0,unknown,no
1-60-28X,60,54,technician,divorced,secondary,no,784,yes,yes,unknown,15,may,5/15/2015,579,1,Life Insurance,-1,0,unknown,no
1-62-29X,62,63,retired,married,secondary,no,415,yes,no,cellular,7,oct,10/7/2015,323,1,Life Insurance,-1,0,unknown,no
1-65-30X,65,56,admin.,married,secondary,no,16873,no,no,cellular,7,oct,10/7/2015,223,1,Life Insurance,-1,0,unknown,no
1-66-31X,66,51,blue-collar,divorced,secondary,no,203,yes,no,cellular,8,may,5/8/2015,134,1,Life Insurance,170,5,failure,no
1-67-32X,67,31,services,married,secondary,no,338,yes,no,cellular,28,jan,1/28/2015,155,1,Life Insurance,-1,0,unknown,no
1-75-34X,75,56,retired,married,secondary,no,344,yes,no,unknown,15,may,5/15/2015,221,1,Life Insurance,-1,0,unknown,no
1-79-35X,79,50,blue-collar,divorced,primary,no,388,no,no,cellular,5,feb,2/5/2015,701,1,Life Insurance,-1,0,unknown,no
1-81-36X,81,27,admin.,divorced,secondary,no,451,yes,no,cellular,16,jul,7/16/2015,652,1,Life Insurance,-1,0,unknown,yes
1-83-37X,83,28,admin.,single,secondary,no,177,yes,yes,cellular,6,may,5/6/2015,150,1,Life Insurance,-1,0,unknown,no
1-85-38X,85,37,management,married,tertiary,no,1315,no,no,cellular,30,jun,6/30/2015,224,1,Life Insurance,-1,0,unknown,yes
1-89-39X,89,38,admin.,married,secondary,no,424,yes,no,cellular,17,apr,4/17/2015,279,1,Life Insurance,-1,0,unknown,no
1-93-40X,93,27,services,single,secondary,no,-195,yes,no,cellular,18,may,5/18/2015,391,1,Life Insurance,-1,0,unknown,yes
1-98-41X,98,30,admin.,single,tertiary,no,261,no,no,cellular,19,oct,10/19/2015,233,1,Life Insurance,137,20,failure,no
1-99-42X,99,36,blue-collar,divorced,secondary,no,2843,no,no,cellular,12,feb,2/12/2015,473,1,Life Insurance,182,1,success,no
1-100-43X,100,31,unemployed,single,primary,no,406,no,no,cellular,4,feb,2/4/2015,736,1,Life Insurance,-1,0,unknown,yes
1-101-44X,101,36,blue-collar,married,secondary,no,0,yes,no,unknown,6,may,5/6/2015,337,1,Life Insurance,-1,0,unknown,no
1-102-45X,102,38,management,single,tertiary,no,493,yes,no,cellular,11,may,5/11/2015,553,1,Life Insurance,367,7,failure,no
1-105-46X,105,34,management,single,secondary,no,524,no,no,unknown,13,aug,8/13/2015,9,1,Life Insurance,-1,0,unknown,no
1-109-47X,109,56,unemployed,married,primary,no,3391,no,no,cellular,21,apr,4/21/2015,243,1,Life Insurance,-1,0,unknown,yes
1-118-48X,118,22,admin.,single,secondary,no,4111,no,yes,cellular,19,aug,8/19/2015,65,1,Life Insurance,-1,0,unknown,no
1-119-49X,119,39,blue-collar,married,primary,no,52,no,no,cellular,13,aug,8/13/2015,69,1,Life Insurance,-1,0,unknown,no
1-121-50X,121,31,admin.,divorced,secondary,no,1890,yes,no,cellular,21,jul,7/21/2015,588,1,Life Insurance,-1,0,unknown,no
1-123-51X,123,32,technician,married,secondary,no,2693,yes,no,unknown,21,may,5/21/2015,16,1,Life Insurance,-1,0,unknown,no
1-127-52X,127,24,unemployed,single,secondary,no,119,no,no,unknown,15,sep,9/15/2015,51,1,Life Insurance,-1,0,unknown,no
1-129-53X,129,32,blue-collar,single,secondary,no,228,no,no,telephone,5,feb,2/5/2015,176,1,Life Insurance,288,3,failure,no
1-130-54X,130,77,retired,divorced,tertiary,no,4659,no,no,cellular,14,apr,4/14/2015,161,1,Life Insurance,-1,0,unknown,yes
1-132-55X,132,37,blue-collar,married,primary,no,0,yes,no,unknown,26,may,5/26/2015,24,1,Life Insurance,-1,0,unknown,no
1-134-56X,134,48,admin.,married,unknown,no,0,yes,no,cellular,8,may,5/8/2015,85,1,Life Insurance,168,2,failure,no
1-137-57X,137,29,admin.,single,secondary,no,428,yes,yes,cellular,7,may,5/7/2015,54,1,Life Insurance,345,2,failure,no
1-138-58X,138,34,management,single,tertiary,no,0,no,no,cellular,5,feb,2/5/2015,71,1,Life Insurance,-1,0,unknown,no
1-139-59X,139,52,management,married,tertiary,no,-970,yes,no,cellular,4,feb,2/4/2015,489,1,Life Insurance,-1,0,unknown,yes
1-143-60X,143,56,services,divorced,unknown,no,1877,yes,no,unknown,30,may,5/30/2015,86,1,Life Insurance,-1,0,unknown,no
1-155-62X,155,39,technician,married,secondary,no,501,no,no,unknown,26,may,5/26/2015,289,1,Life Insurance,-1,0,unknown,no
1-159-63X,159,27,self-employed,single,secondary,no,50,no,no,cellular,29,jan,1/29/2015,168,1,Life Insurance,-1,0,unknown,no
1-160-64X,160,34,technician,married,secondary,no,1641,yes,no,cellular,17,apr,4/17/2015,380,1,Life Insurance,-1,0,unknown,no
1-161-65X,161,34,blue-collar,married,tertiary,no,20,no,no,unknown,4,oct,10/4/2015,10,1,Life Insurance,-1,0,unknown,no
1-166-66X,166,31,admin.,single,secondary,no,2104,yes,no,unknown,3,jun,6/3/2015,455,1,Life Insurance,-1,0,unknown,no
1-169-67X,169,48,technician,married,tertiary,no,310,no,no,unknown,6,may,5/6/2015,135,1,Life Insurance,-1,0,unknown,no
1-170-68X,170,32,blue-collar,single,secondary,no,1143,yes,yes,cellular,10,jul,7/10/2015,412,1,Life Insurance,-1,0,unknown,no
1-173-69X,173,40,admin.,single,secondary,no,462,yes,yes,cellular,6,apr,4/6/2015,272,1,Life Insurance,335,4,other,no
1-174-70X,174,32,admin.,married,secondary,no,1031,yes,no,cellular,17,jul,7/17/2015,84,1,Life Insurance,-1,0,unknown,no
1-176-71X,176,43,admin.,married,secondary,no,-465,yes,yes,cellular,23,jul,7/23/2015,166,1,Life Insurance,-1,0,unknown,no
1-179-72X,179,37,unknown,married,unknown,no,1699,no,no,unknown,9,jun,6/9/2015,63,1,Life Insurance,-1,0,unknown,no
1-184-73X,184,40,admin.,divorced,secondary,no,6,no,no,unknown,11,jun,6/11/2015,140,1,Life Insurance,-1,0,unknown,no
1-188-74X,188,37,services,single,secondary,no,21,yes,no,cellular,2,feb,2/2/2015,96,1,Life Insurance,271,2,other,no
1-199-75X,199,42,technician,married,tertiary,no,782,no,no,cellular,3,apr,4/3/2015,285,1,Life Insurance,-1,0,unknown,no
1-200-76X,200,75,retired,married,secondary,no,3771,no,no,telephone,15,apr,4/15/2015,185,1,Life Insurance,181,2,success,yes
1-201-77X,201,34,technician,single,tertiary,no,992,yes,no,cellular,4,may,5/4/2015,301,1,Life Insurance,88,2,success,no
1-205-78X,205,29,blue-collar,single,tertiary,no,455,no,no,telephone,21,apr,4/21/2015,403,1,Life Insurance,-1,0,unknown,yes
1-207-79X,207,42,technician,married,secondary,no,2030,yes,yes,cellular,9,jul,7/9/2015,196,1,Life Insurance,-1,0,unknown,no
1-208-80X,208,29,technician,married,secondary,no,1599,yes,no,cellular,8,jul,7/8/2015,115,1,Life Insurance,61,1,failure,no
1-209-81X,209,38,services,single,secondary,no,-196,yes,no,cellular,2,feb,2/2/2015,60,1,Life Insurance,271,1,failure,no
1-214-82X,214,57,self-employed,married,secondary,no,11494,no,no,cellular,19,nov,11/19/2015,198,1,Life Insurance,-1,0,unknown,no
1-225-83X,225,54,management,married,primary,no,1691,yes,no,cellular,20,nov,11/20/2015,186,1,Life Insurance,-1,0,unknown,no
1-226-84X,226,32,services,single,secondary,no,406,yes,no,unknown,6,may,5/6/2015,227,1,Life Insurance,-1,0,unknown,no
1-228-85X,228,33,technician,married,secondary,no,359,yes,no,cellular,20,apr,4/20/2015,210,1,Life Insurance,242,1,other,no
1-229-86X,229,36,blue-collar,married,primary,no,123,yes,no,cellular,18,may,5/18/2015,9,1,Life Insurance,-1,0,unknown,no
1-230-87X,230,35,technician,married,tertiary,no,0,yes,yes,cellular,23,sep,9/23/2015,112,1,Life Insurance,62,6,other,no
1-235-88X,235,30,student,single,secondary,no,3096,no,no,cellular,26,jan,1/26/2015,123,1,Life Insurance,-1,0,unknown,no
1-237-89X,237,33,blue-collar,married,secondary,no,3576,yes,no,cellular,2,apr,4/2/2015,124,1,Life Insurance,308,2,other,no
1-246-90X,246,36,management,married,tertiary,no,0,yes,no,cellular,28,jan,1/28/2015,60,1,Life Insurance,250,1,other,no
1-261-91X,261,54,housemaid,married,secondary,no,209,yes,yes,cellular,25,jul,7/25/2015,97,1,Life Insurance,-1,0,unknown,no
1-265-92X,265,58,technician,married,tertiary,no,883,no,no,cellular,18,aug,8/18/2015,543,1,Life Insurance,78,2,failure,no
1-266-93X,266,40,self-employed,married,secondary,no,1516,yes,yes,unknown,23,may,5/23/2015,373,1,Life Insurance,-1,0,unknown,no
1-267-94X,267,29,student,single,secondary,no,872,yes,no,unknown,7,may,5/7/2015,230,1,Life Insurance,-1,0,unknown,no
1-271-95X,271,40,services,married,secondary,no,0,yes,no,cellular,2,jun,6/2/2015,297,1,Life Insurance,28,3,failure,no
1-272-96X,272,24,blue-collar,single,secondary,no,174,yes,yes,cellular,18,may,5/18/2015,487,1,Life Insurance,-1,0,unknown,yes
1-276-97X,276,34,technician,married,secondary,no,4,yes,no,unknown,15,may,5/15/2015,644,1,Life Insurance,-1,0,unknown,no
1-280-98X,280,51,blue-collar,divorced,primary,no,37,yes,no,cellular,13,may,5/13/2015,341,1,Life Insurance,-1,0,unknown,no
1-282-99X,282,32,blue-collar,married,secondary,no,1148,yes,no,cellular,20,apr,4/20/2015,121,1,Life Insurance,-1,0,unknown,no
1-283-100X,283,37,blue-collar,single,secondary,no,3561,yes,no,unknown,2,jun,6/2/2015,98,1,Life Insurance,-1,0,unknown,no
1-286-101X,286,28,technician,single,tertiary,no,2269,yes,no,unknown,9,may,5/9/2015,331,1,Life Insurance,-1,0,unknown,no
1-297-102X,297,29,management,married,tertiary,no,451,no,no,cellular,28,jan,1/28/2015,451,1,Life Insurance,-1,0,unknown,no
1-298-103X,298,45,blue-collar,divorced,primary,no,-311,yes,no,unknown,23,may,5/23/2015,1030,1,Life Insurance,-1,0,unknown,yes
1-301-104X,301,70,retired,divorced,primary,no,4531,no,no,cellular,18,may,5/18/2015,445,1,Life Insurance,-1,0,unknown,no
1-303-105X,303,56,blue-collar,married,secondary,no,345,yes,no,telephone,22,jul,7/22/2015,605,1,Life Insurance,-1,0,unknown,no
1-307-106X,307,49,entrepreneur,married,secondary,no,687,yes,no,cellular,17,apr,4/17/2015,772,1,Life Insurance,-1,0,unknown,yes
1-309-107X,309,35,management,married,tertiary,no,4286,yes,no,unknown,9,may,5/9/2015,357,1,Life Insurance,-1,0,unknown,no
1-317-108X,317,46,blue-collar,married,secondary,no,182,no,no,cellular,4,feb,2/4/2015,56,1,Life Insurance,-1,0,unknown,no
1-320-109X,320,26,unemployed,single,secondary,no,1064,no,no,unknown,31,may,5/31/2015,113,1,Life Insurance,-1,0,unknown,no
1-322-110X,322,37,blue-collar,married,secondary,no,-67,no,no,cellular,2,feb,2/2/2015,157,1,Life Insurance,-1,0,unknown,no
1-324-111X,324,38,management,married,tertiary,no,1199,no,no,cellular,4,aug,8/4/2015,178,1,Life Insurance,1,1,success,yes
1-325-112X,325,47,blue-collar,married,primary,no,214,yes,yes,unknown,9,jun,6/9/2015,168,1,Life Insurance,-1,0,unknown,no
1-326-113X,326,33,technician,married,secondary,no,6699,no,no,cellular,9,nov,11/9/2015,425,1,Life Insurance,462,1,failure,no
1-327-114X,327,51,unemployed,married,secondary,no,1760,no,yes,cellular,19,nov,11/19/2015,162,1,Life Insurance,-1,0,unknown,no
1-330-115X,330,48,admin.,single,secondary,no,1150,yes,no,unknown,28,may,5/28/2015,357,1,Life Insurance,-1,0,unknown,no
1-336-116X,336,47,management,divorced,tertiary,no,447,no,yes,unknown,7,may,5/7/2015,126,1,Life Insurance,-1,0,unknown,no
1-337-117X,337,33,blue-collar,married,primary,no,-195,no,no,unknown,20,sep,9/20/2015,9,1,Life Insurance,-1,0,unknown,no
1-338-118X,338,33,management,single,tertiary,no,1410,yes,no,cellular,5,feb,2/5/2015,8,1,Life Insurance,254,5,failure,no
1-339-119X,339,63,retired,married,primary,no,1084,no,no,cellular,14,oct,10/14/2015,201,1,Life Insurance,183,1,success,no
1-341-120X,341,41,management,married,tertiary,no,832,yes,yes,cellular,21,nov,11/21/2015,164,1,Life Insurance,176,1,failure,no
1-342-121X,342,56,retired,married,tertiary,no,478,no,no,cellular,5,feb,2/5/2015,97,1,Life Insurance,-1,0,unknown,no
1-343-122X,343,60,management,single,tertiary,no,0,no,yes,cellular,23,jul,7/23/2015,151,1,Life Insurance,-1,0,unknown,no
1-345-123X,345,37,management,single,unknown,no,504,yes,no,cellular,16,apr,4/16/2015,555,1,Life Insurance,-1,0,unknown,no
1-349-124X,349,44,admin.,married,secondary,no,0,yes,yes,unknown,16,may,5/16/2015,159,1,Life Insurance,-1,0,unknown,no
1-351-125X,351,31,blue-collar,married,secondary,no,1660,yes,no,cellular,20,apr,4/20/2015,342,1,Life Insurance,-1,0,unknown,no
1-354-127X,354,50,management,married,tertiary,no,4,no,no,cellular,17,nov,11/17/2015,223,1,Life Insurance,96,2,failure,no
